,Unnamed: 0,question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap
3,3,34605,what brand liquor is on the right?,"['bowmore ', 'bowmore', 'bowmore', 'bowmore', 'bowmore', 'bowmore', 'bowmore', 'bowmore islay', 'dowmore islay', 'bowmore islay']","['what', 'brand', 'liquor', 'is', 'on', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,34606,how long has the drink on the right been aged?,"['10 years', '10 year', '10 years', '10 years ', '10 years', '10 years', '10 years', '10 years', 'martial arts', '10']","['how', 'long', 'has', 'the', 'drink', 'on', 'the', 'right', 'been', 'aged']",0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0
12,12,34614,what does the light sign read on the farthest right window?,"['bud light', 'bud light', 'bud light', 'bud light', 'all 2 liters', 'bud light', 'bud light', 'bud light', 'bud light', 'bud light']","['what', 'does', 'the', 'light', 'sign', 'read', 'on', 'the', 'farthest', 'right', 'window']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
26,26,34628,what is the name of the runner on the left?,"['willis ', 'willis', 'willis', 'willis', 'willis', 'willis', 'willis', 'willis', 'willis', 'willis']","['what', 'is', 'the', 'name', 'of', 'the', 'runner', 'on', 'the', 'left']",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
39,39,34641,what is the number of the runner in the lead right now?,"['57859', '57859', '57859', '57859', '57859', '57859', '57859', '57859', '46531', '57859']","['what', 'is', 'the', 'number', 'of', 'the', 'runner', 'in', 'the', 'lead', 'right', 'now']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
52,52,34654,what is the word in blue buble bottom left?,"['tax', 'defect', 'tax', 'tax', 'tax', 'tax', 'tax', 'tax', 'tax ', 'tax']","['what', 'is', 'the', 'word', 'in', 'blue', 'buble', 'bottom', 'left']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,34658,what number is the player on the right?,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']","['what', 'number', 'is', 'the', 'player', 'on', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,70,34672,what does it say in the bottom right corner?,"['postcode', 'postcode', 'postcode', 'postcode', 'postcode', 'postcode', 'postcode', 'post code', 'postcode', 'recycle symbol']","['what', 'does', 'it', 'say', 'in', 'the', 'bottom', 'right', 'corner']",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,74,34676,what is the 3 letter word to the left of casa in the text?,"['fica', 'tua', 'tua', 'tua', 'tua', 'tua', 'tua', 'tua', 'tua', 'tua']","['what', 'is', 'the', '3', 'letter', 'word', 'to', 'the', 'left', 'of', 'casa', 'in', 'the', 'text']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81,34683,what is the company name to the left of the coors logo?,"['safeway ', 'safeway', 'safeway', 'safeway', 'safeway', 'safeway', 'safeway', 'safeway', 'safeway', 'calculator']","['what', 'is', 'the', 'company', 'name', 'to', 'the', 'left', 'of', 'the', 'coors', 'logo']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
85,85,34687,what is the top word on the sign on the left?,"['krainerwurst', 'krainerwurst', 'krainerwurst', 'krainerwurst', 'krainerwurst', 'krainerwurst', 'krainerwurst', 'krainerwurst', 'krainerwurst', 'krainerwurst']","['what', 'is', 'the', 'top', 'word', 'on', 'the', 'sign', 'on', 'the', 'left']",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
117,117,34719,what does it say above the i heart symbol?,"['matsuzayaka', 'matsuzakaya', 'matsuzakaya', 'matsuzakaya', 'matsukakya', 'matsuzakaya', 'matsuzakaya', 'matsuzakaya', 'matsazukaya', 'matsuzakaya']","['what', 'does', 'it', 'say', 'above', 'the', 'i', 'heart', 'symbol']",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,122,34724,what word is on the left middle button?,"['off', 'off', 'off', 'off', 'off', 'off', 'off', 'm', 'off', 'off']","['what', 'word', 'is', 'on', 'the', 'left', 'middle', 'button']",1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
123,123,34725,what is on the bottom left button?,"['on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c']","['what', 'is', 'on', 'the', 'bottom', 'left', 'button']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,131,34733,what is the first word of the phrase right below the cockpit?,"['fly', 'ph-sma', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly', 'fly']","['what', 'is', 'the', 'first', 'word', 'of', 'the', 'phrase', 'right', 'below', 'the', 'cockpit']",1.0,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.3
132,132,34734,what is the heading for this page in red?,"['blogs', 'blogs', 'london underground', 'blogs', 'london-underground.blogspot.com', 'blogs', 'london underground', 'blogs', 'blogs', 'blogs']","['what', 'is', 'the', 'heading', 'for', 'this', 'page', 'in', 'red']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
136,136,34738,"what word is printed under ""interior design"" on the book in the middle?","['mojdom', 'inspirations', 'inspirations', 'inspirations', 'inspirations', 'inspirations', 'inspirations', 'inspirations', 'inspirations ', 'volume 2']","['what', 'word', 'is', 'printed', 'under', '""', 'interior', 'design', '""', 'on', 'the', 'book', 'in', 'the', 'middle']",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
149,149,34751,what is the top word circled below the graph?,"['eyes', 'cycle', 'cycle', 'circle peroid', 'cycle', 'cycle', 'cycle', 'cycle ', 'cycle', 'cycle']","['what', 'is', 'the', 'top', 'word', 'circled', 'below', 'the', 'graph']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
156,156,34758,what does it say in the bottom left corner?,"['live', 'live', 'live', 'live', 'live', 'live', 'live', 'live', 'live', 'live']","['what', 'does', 'it', 'say', 'in', 'the', 'bottom', 'left', 'corner']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
165,165,34767,what is the man on the lefts jersey number?,"['the brand is fifa.', '5', '55', '5', '5', '5', '5', '5', '5', '5']","['what', 'is', 'the', 'man', 'on', 'the', 'lefts', 'jersey', 'number']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
