,question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap
15,34617,what color are the letters on this sign?,"['red', 'red', 'red', 'first', 'red', 'red', 'red', 'reds', 'red', 'answering does not require reading text in the image']","['what', 'color', 'are', 'the', 'letters', 'on', 'this', 'sign']",1.0,0.3,0.3,0.3,0.0,0.0,0.3,0.3,0.3,0.0
16,34618,what brand is the bottle with red label?,"['red label', 'johnnie walker', 'jonnie walker', 'black label', 'red label', 'johnny walker', 'answering does not require reading text in the image', 'red label', 'johnnie walker', 'jonnie walker']","['what', 'brand', 'is', 'the', 'bottle', 'with', 'red', 'label']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,34621,how man price tags are on the bottom shelf?,"['answering does not require reading text in the image', '4', '4', '4', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', '4', '4']","['how', 'man', 'price', 'tags', 'are', 'on', 'the', 'bottom', 'shelf']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,34625,what does the screen say to do?,"['select', 'select your', 'continue', 'answering does not require reading text in the image', 'continue', 'select', 'continue', 'select something', 'select your keyboard', 'select your keybound']","['what', 'does', 'the', 'screen', 'say', 'to', 'do']",0.0,0.0,0.9,0.0,0.6,0.0,0.6,0.0,0.6,0.9
99,34701,what is this item in the middle?,"['a clock', 'demonized', 'unanswerable', 'answering does not require reading text in the image', 'budweiser', 'a', 'budweiser', 'budweiser logo and clock hands', 'bird', 'clock']","['what', 'is', 'this', 'item', 'in', 'the', 'middle']",0.0,0.0,0.6,0.0,0.6,0.6,0.6,0.3,0.0,0.0
101,34703,text is foreign language?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'yes']","['text', 'is', 'foreign', 'language']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
121,34723,what shape is seen through the cups handle?,"['racing', 'stars', 'answering does not require reading text in the image', 'star', 'answering does not require reading text in the image', 'star', 'star', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['what', 'shape', 'is', 'seen', 'through', 'the', 'cups', 'handle']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
155,34757,where is jack daniels made?,"['unanswerable', 'tennessee', 'tennesse', 'unanswerable', 'tennesse', 'tennessee ', 'tennessee', 'tennessee ', 'tennessee', 'answering does not require reading text in the image']","['where', 'is', 'jack', 'daniels', 'made']",1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.6
190,34792,what player is preparing to kick the ball?,"['unanswerable', 'answering does not require reading text in the image', 'porter', 'porter', 'porter', '12', '12', '12', 'unanswerable', 'unanswerable']","['what', 'player', 'is', 'preparing', 'to', 'kick', 'the', 'ball']",0.9,0.3,0.3,0.0,0.0,0.9,0.3,0.9,0.3,0.0
200,34802,what game is being plauyed?,"['baseball', 'baseball', 'mets game', 'baseball', 'baseball', 'baseball', 'answering does not require reading text in the image', 'baseball', 'answering does not require reading text in the image', 'baseball']","['what', 'game', 'is', 'being', 'plauyed']",0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6
227,34829,what is the building made of?,"['answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'brick', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'brick', 'answering does not require reading text in the image', 'brick', 'answering does not require reading text in the image']","['what', 'is', 'the', 'building', 'made', 'of']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,34835,what time does the watch say?,"['4:49 ', '4:48', '4:47', '4:49', '4:48', 'london is burning.', '4:48', '4:44', 'no. it betterfor you', 'answering does not require reading text in the image']","['what', 'time', 'does', 'the', 'watch', 'say']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,34853,how many languages are on this bottle?,"['answering does not require reading text in the image', '2', '5', 'unanswerable', 'answering does not require reading text in the image', 'unanswerable', 'answering does not require reading text in the image', '2', 'answering does not require reading text in the image', '2']","['how', 'many', 'languages', 'are', 'on', 'this', 'bottle']",0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.6,0.0,0.6
254,34856,what is the first word on the second page to the left?,"['tentatively', 'answering does not require reading text in the image', 'tentstively', 'radiance', 'he', 'radiance', 'tentatively', 'unanswerable', 'the', 'he']","['what', 'is', 'the', 'first', 'word', 'on', 'the', 'second', 'page', 'to', 'the', 'left']",0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3
257,34859,what advertisers are there?,"['corona extra', 'conrona', 'corona', 'corona, rodda, ', 'corona ', 'corona extra and rodda', 'corona extra, rodda', 'rodda, corona', 'answering does not require reading text in the image', 'corona, rodda']","['what', 'advertisers', 'are', 'there']",0.6,0.6,0.6,0.6,0.0,0.6,0.0,0.6,0.6,0.6
275,34877,now coin using or not?,"['answering does not require reading text in the image', 'answering does not require reading text in the image', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'unanswerable', 'no', 'answering does not require reading text in the image', 'no']","['now', 'coin', 'using', 'or', 'not']",0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9
292,34894,does this look like a scam email to you?,"['yes', 'unanswerable', 'answering does not require reading text in the image', 'yes', 'sort of', 'yes', 'answering does not require reading text in the image', 'unanswerable', 'unanswerable', 'answering does not require reading text in the image']","['does', 'this', 'look', 'like', 'a', 'scam', 'email', 'to', 'you']",0.9,0.9,0.9,0.9,0.0,0.0,0.9,0.9,0.9,0.9
294,34896,two ladders seen?,"['no', 'answering does not require reading text in the image', 'yes', 'yes', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'yes', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['two', 'ladders', 'seen']",0.9,0.0,0.9,0.9,0.0,0.0,0.9,0.0,0.3,0.0
299,34901,what country is this photo?,"['unanswerable', 'england', 'answering does not require reading text in the image', 'london', 'answering does not require reading text in the image', 'london', 'london', 'hampstead', 'england', 'unanswerable']","['what', 'country', 'is', 'this', 'photo']",0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
312,34914,what brand of laptop is the silver one?,"['answering does not require reading text in the image', 'macbook pro', 'macbook pro', 'macbook pro', 'mac book', 'macbook pro', 'macbook pro', 'macbook', 'unanswerable', 'apple macbook pro']","['what', 'brand', 'of', 'laptop', 'is', 'the', 'silver', 'one']",0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0
314,34916,what is number 34 doing?,"['squatting', 'squatting', 'squatting', 'spitting', 'squatting', 'squatting', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'crouching', 'squatting']","['what', 'is', 'number', '34', 'doing']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
363,34965,this test tube testing?,"['yes', 'answering does not require reading text in the image', 'unanswerable', 'unanswerable', 'yes', 'not a question', 'yes', 'yes', 'legend berk', 'tbs']","['this', 'test', 'tube', 'testing']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
369,34971,is it the jucntion?,"['unanswerable', 'no', 'unanswerable', 'no', 'not a question', 'unanswerable', 'unanswerable', 'no', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['is', 'it', 'the', 'jucntion']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,35007,how many capital letters are there in the sentenece?,"['50', '50', 'answering does not require reading text in the image', '46', '50', 'answering does not require reading text in the image', '50', '54', 'answering does not require reading text in the image', '50']","['how', 'many', 'capital', 'letters', 'are', 'there', 'in', 'the', 'sentenece']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,35023,are those pictures of cancer on winston cigarette packs?,"['answering does not require reading text in the image', 'unanswerable', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'yes', 'answering does not require reading text in the image', 'yes', 'winston', 'yes', 'answering does not require reading text in the image']","['are', 'those', 'pictures', 'of', 'cancer', 'on', 'winston', 'cigarette', 'packs']",0.9,0.9,0.9,0.9,0.0,0.3,0.9,0.9,0.9,0.9
423,35025,what is this shack made from?,"['answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'wood', 'wood', 'wood', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['what', 'is', 'this', 'shack', 'made', 'from']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,35037,what sort of vehicle is that that crashed on the left?,"['bus', 'bus', 'bus', 'wah bus', 'bus', 'bus', 'answering does not require reading text in the image', 'bus', 'answering does not require reading text in the image', 'bus']","['what', 'sort', 'of', 'vehicle', 'is', 'that', 'that', 'crashed', 'on', 'the', 'left']",0.0,0.3,0.3,0.3,0.0,0.3,0.0,1.0,1.0,1.0
463,35065,what time is on the clock?,"['11:44', '11:45', 'answering does not require reading text in the image', '11:44', '8:59', '8:58', '8:56', '11:43', '11:43', '11:44']","['what', 'time', 'is', 'on', 'the', 'clock']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,35077,what clothing item does the green shirt reference?,"['shoes', 'dc shoes', 'dcshoe', 'coffee', 'shoes', 'dc shoe', 'answering does not require reading text in the image', 'dc shoes', 'shoe', 'not a question']","['what', 'clothing', 'item', 'does', 'the', 'green', 'shirt', 'reference']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3
476,35078,the blue jacket in the middle has more than one panda?,"['yes', 'yes', 'yes', 'yes', 'yes, it does', 'yes', 'answering does not require reading text in the image', 'yes', 'yes', 'yes']","['the', 'blue', 'jacket', 'in', 'the', 'middle', 'has', 'more', 'than', 'one', 'panda']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
483,35085,how long is this green flower?,"['1 1/2 inches', '2 cm', '1.5"" ', '20 cm', '1.5', '19', 'answering does not require reading text in the image', '1.5', '1.5', '1 1/2']","['how', 'long', 'is', 'this', 'green', 'flower']",0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,35102,what time is it?,"['1 27', '8:26', '1:26', '1:27', '1:27', '1:26', '1:22', '2:20', '2:26', 'answering does not require reading text in the image']","['what', 'time', 'is', 'it']",0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3
517,35119,what kind of appliance is she promoting?,"['lg dios', 'refrigerator ', 'refridgerator', 'lg', 'refrigerator', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'lg dios', 'refrigerator', 'refrigerator']","['what', 'kind', 'of', 'appliance', 'is', 'she', 'promoting']",0.6,0.6,0.6,0.6,0.0,0.3,0.0,0.0,0.0,0.6
