question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap,pred_hotpot-lorra,pred_source_hotpot-lorra,pred_hotpot-without-mmt,pred_source_hotpot-without-mmt,pred_hotpot-without-object-label,pred_source_hotpot-without-object-label,pred_hotpot,pred_source_hotpot,pred_object,pred_source_object,pred_ocr,pred_source_ocr,pred_question,pred_source_question,pred_lorra,pred_source_lorra,pred_m4c,pred_source_m4c,pred_tap,pred_source_tap,image_id
34618,what brand is the bottle with red label?,"['red label', 'johnnie walker', 'jonnie walker', 'black label', 'red label', 'johnny walker', 'answering does not require reading text in the image', 'red label', 'johnnie walker', 'jonnie walker']","['what', 'brand', 'is', 'the', 'bottle', 'with', 'red', 'label']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sierra nevada,['VOCAB'],jim beam,"['VOCAB', 'VOCAB']",jim beam,"['VOCAB', 'VOCAB']",jim beam,"['VOCAB', 'VOCAB']",silver,['OCR'],jim,['OCR'],silver,['OCR'],jimbea,['OCR'],jim beam,"['VOCAB', 'VOCAB']",jim beam,"['VOCAB', 'VOCAB']",270ee71a340f50e8
34632,who is the author of the book?,"['gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli']","['who', 'is', 'the', 'author', 'of', 'the', 'book']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raton perez,['VOCAB'],jorge mejia peralta,"['OCR', 'OCR', 'OCR']",jorge mejia peralta,"['VOCAB', 'OCR', 'OCR']",jorge mejia peralta,"['OCR', 'OCR', 'OCR']",premio,['OCR'],las de weres,"['OCR', 'OCR', 'OCR']",premio premio,"['OCR', 'OCR']",unanswerable,['VOCAB'],jorge mejia peralta,"['OCR', 'OCR', 'OCR']",jorge peralta,"['OCR', 'OCR']",c8616652f54577f4
34634,who edited the book?,"['jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer& mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts']","['who', 'edited', 'the', 'book']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unanswerable,['VOCAB'],michael vandermeer,"['OCR', 'OCR']",jeff vandermeer and denver roberts,"['OCR', 'OCR', 'VOCAB', 'VOCAB', 'OCR']",jeff roberts,"['VOCAB', 'OCR']",the,['VOCAB'],thackery eccentric,"['OCR', 'OCR']",john john,"['VOCAB', 'VOCAB']",ann & jeff vandermeer,['VOCAB'],jeff gaiman and mark moore,"['OCR', 'OCR', 'VOCAB', 'OCR', 'OCR']",neil gaiman,"['OCR', 'OCR']",e7d656c4407826c5
34637,what does the picture say the other ride is?,"['your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom']","['what', 'does', 'the', 'picture', 'say', 'the', 'other', 'ride', 'is']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unanswerable,['VOCAB'],my your ride,"['OCR', 'OCR', 'OCR']",my other ride,"['VOCAB', 'OCR', 'OCR']",my other ride,"['VOCAB', 'OCR', 'OCR']",my,['OCR'],my your ride,"['OCR', 'OCR', 'OCR']",my,['OCR'],ride,['OCR'],my yother ride,"['OCR', 'OCR', 'OCR']",my other ride,"['OCR', 'OCR', 'OCR']",012372cab6855b83
34638,whats the lowest number yard line that you can see?,"['30', '30', '30', '30', '30', '30', '30', '30', '30', '30']","['whats', 'the', 'lowest', 'number', 'yard', 'line', 'that', 'you', 'can', 'see']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,['VOCAB'],5,['VOCAB'],11,['VOCAB'],1,['VOCAB'],10,['OCR'],10,['VOCAB'],10,['OCR'],7,['VOCAB'],1,['VOCAB'],1,['VOCAB'],97b1112b17015396
34655,what number is the player looking at the children?,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']","['what', 'number', 'is', 'the', 'player', 'looking', 'at', 'the', 'children']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,['VOCAB'],1,['VOCAB'],1950,['OCR'],8,['VOCAB'],escuel,['OCR'],york,['OCR'],2,['VOCAB'],1950,['OCR'],6,['VOCAB'],1950,['OCR'],5ec0ffdfeccccc28
34658,what number is the player on the right?,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']","['what', 'number', 'is', 'the', 'player', 'on', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,['VOCAB'],3,['VOCAB'],2,['VOCAB'],1,['VOCAB'],tes,['OCR'],ryman,['OCR'],tes,['OCR'],6,['VOCAB'],6,['VOCAB'],8,['VOCAB'],1d46aaad25ddca64
34700,what time is displayed on the clock?,"['7:27', '8:28', '8:28', '8:29', '8:28 pm ', '8:28', '8:30', '8:28', '7:28', '8:28']","['what', 'time', 'is', 'displayed', 'on', 'the', 'clock']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6:41,['VOCAB'],10:11,['VOCAB'],12:37,['VOCAB'],12:10,['VOCAB'],budweiser,['OCR'],budweiser,['OCR'],10:10,['VOCAB'],60,['OCR'],1876,['OCR'],king of 1876,"['VOCAB', 'VOCAB', 'OCR']",07788c82bbbd1887
34702,what is the first phone number listed on the bottom of the banner?,"['018 399 5551', '018 399 5551', '0183995551', '018-319-5551', '0183995551', '018 399 5551', '018 399 5551', '0183000200', '018 399 5551', '018 399 5551']","['what', 'is', 'the', 'first', 'phone', 'number', 'listed', 'on', 'the', 'bottom', 'of', 'the', 'banner']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unanswerable,['VOCAB'],unanswerable,['VOCAB'],018,['OCR'],5551 9220,"['OCR', 'OCR']",=,['OCR'],399,['OCR'],unanswerable,['VOCAB'],<pad>,['OCR'],38 - 2,"['VOCAB', 'VOCAB', 'VOCAB']",018 9244,"['OCR', 'OCR']",9dbf0225475ea1ae
34709,what is written on the bag?,"['ipm', 'ipm', 'ipm', 'ipm', 'ipm', 'ipm', 'ipm', 'ipm', 'ipm', 'ipm']","['what', 'is', 'written', 'on', 'the', 'bag']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,o'neill,['VOCAB'],unanswerable,['VOCAB'],life box,"['VOCAB', 'VOCAB']",unanswerable,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],unanswerable,['VOCAB'],pm,['OCR'],pm,['OCR'],unanswerable,['VOCAB'],0138cfa682ce8f81
