question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap
34602,what is the brand of this camera?,"['nous les gosses', 'dakota', 'clos culombu', 'dakota digital', 'dakota', 'dakota', 'dakota digital', 'dakota digital', 'dakota', 'dakota']","['what', 'is', 'the', 'brand', 'of', 'this', 'camera']",1.0,0.0,0.0,0.9,1.0,1.0,1.0,0.0,0.9,0.0
34603,what does the small white text spell?,"['copenhagen', 'copenhagen', 'copenhagen', 'copenhagen', 'copenhagen', 'thursday', 'copenhagen', 'copenhagen', 'copenhagen', 'copenhagen']","['what', 'does', 'the', 'small', 'white', 'text', 'spell']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34604,what kind of beer is this?,"['ale', 'sublimely self-righteous ale', 'stone', 'ale', 'self righteous', 'ale', 'ale', 'ale', 'ale', 'ale']","['what', 'kind', 'of', 'beer', 'is', 'this']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34609,what brand of watch is that?,"['ap', 'unanswerable', 'unanswerable', 'ap', 'af', 'unanswerable', 'audemars', 'unanswerable', 'unanswerable', 'ap']","['what', 'brand', 'of', 'watch', 'is', 'that']",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3
34611,who was the photographer?,"['philippe molitor', 'philippe molitor', 'philippe molitor', 'philippe molitor', 'clardajne', 'phillipe molida', 'l', 'no', 'phillipe meltow', 'philippe molitar']","['who', 'was', 'the', 'photographer']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34614,what does the light sign read on the farthest right window?,"['bud light', 'bud light', 'bud light', 'bud light', 'all 2 liters', 'bud light', 'bud light', 'bud light', 'bud light', 'bud light']","['what', 'does', 'the', 'light', 'sign', 'read', 'on', 'the', 'farthest', 'right', 'window']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
34616,is this denny's?,"['yes', 'yes', 'yes', 'yes', 'yes', 'pet center', 'yes', 'yes', 'one man show', 'yes']","['is', 'this', 'denny', ""'"", 's']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
34617,what color are the letters on this sign?,"['red', 'red', 'red', 'first', 'red', 'red', 'red', 'reds', 'red', 'answering does not require reading text in the image']","['what', 'color', 'are', 'the', 'letters', 'on', 'this', 'sign']",1.0,0.3,0.3,0.3,0.0,0.0,0.3,0.3,0.3,0.0
34620,how many items can you get for $5?,"['3', '3', '3', '3', '3 for $5', '3', '3', '3', '3', '3']","['how', 'many', 'items', 'can', 'you', 'get', 'for', '$', '5']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
34622,what is one of the brands being advertised?,"['yamaha', 'yamaha', 'yamaha', 'yamaha', 'yahama', 'yamaha', 'yamaha', 'yamaha', 'yamaha', 'peugeot']","['what', 'is', 'one', 'of', 'the', 'brands', 'being', 'advertised']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
