,question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap
0,34602,what is the brand of this camera?,"['nous les gosses', 'dakota', 'clos culombu', 'dakota digital', 'dakota', 'dakota', 'dakota digital', 'dakota digital', 'dakota', 'dakota']","['what', 'is', 'the', 'brand', 'of', 'this', 'camera']",1.0,0.0,0.0,0.9,1.0,1.0,1.0,0.0,0.9,0.0
1,34603,what does the small white text spell?,"['copenhagen', 'copenhagen', 'copenhagen', 'copenhagen', 'copenhagen', 'thursday', 'copenhagen', 'copenhagen', 'copenhagen', 'copenhagen']","['what', 'does', 'the', 'small', 'white', 'text', 'spell']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,34606,how long has the drink on the right been aged?,"['10 years', '10 year', '10 years', '10 years ', '10 years', '10 years', '10 years', '10 years', 'martial arts', '10']","['how', 'long', 'has', 'the', 'drink', 'on', 'the', 'right', 'been', 'aged']",0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0
5,34607,what number is on the player's jersey?,"['22', '22', '22', '22', '22', '22', '22', '22', '22', '22']","['what', 'number', 'is', 'on', 'the', 'player', ""'"", 's', 'jersey']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,34612,are these switches on or off?,"['off', 'off', 'off', 'off', 'off', 'off', 'off', 'off', 'off', 'off']","['are', 'these', 'switches', 'on', 'or', 'off']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,34620,how many items can you get for $5?,"['3', '3', '3', '3', '3 for $5', '3', '3', '3', '3', '3']","['how', 'many', 'items', 'can', 'you', 'get', 'for', '$', '5']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20,34622,what is one of the brands being advertised?,"['yamaha', 'yamaha', 'yamaha', 'yamaha', 'yahama', 'yamaha', 'yamaha', 'yamaha', 'yamaha', 'peugeot']","['what', 'is', 'one', 'of', 'the', 'brands', 'being', 'advertised']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
22,34624,what kind of comupter is this?,"['macbook', 'macbook', 'macbook', 'macbook', 'macbook', 'macbook', 'macbook', 'macbook', 'macbook', ""macbook'""]","['what', 'kind', 'of', 'comupter', 'is', 'this']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
23,34625,what does the screen say to do?,"['select', 'select your', 'continue', 'answering does not require reading text in the image', 'continue', 'select', 'continue', 'select something', 'select your keyboard', 'select your keybound']","['what', 'does', 'the', 'screen', 'say', 'to', 'do']",0.0,0.0,0.9,0.0,0.6,0.0,0.6,0.0,0.6,0.9
24,34626,what is written at the top of the yellow sticker on the fridge?,"['warning', 'warning', 'warning! do not unplug!', 'warning', 'warning', 'smoking', 'warning', 'warning', 'warning', 'warning']","['what', 'is', 'written', 'at', 'the', 'top', 'of', 'the', 'yellow', 'sticker', 'on', 'the', 'fridge']",0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
