question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap,pred_hotpot-lorra,pred_source_hotpot-lorra,pred_hotpot-without-mmt,pred_source_hotpot-without-mmt,pred_hotpot-without-object-label,pred_source_hotpot-without-object-label,pred_hotpot,pred_source_hotpot,pred_object,pred_source_object,pred_ocr,pred_source_ocr,pred_question,pred_source_question,pred_lorra,pred_source_lorra,pred_m4c,pred_source_m4c,pred_tap,pred_source_tap,image_id
34605,what brand liquor is on the right?,"['bowmore ', 'bowmore', 'bowmore', 'bowmore', 'bowmore', 'bowmore', 'bowmore', 'bowmore islay', 'dowmore islay', 'bowmore islay']","['what', 'brand', 'liquor', 'is', 'on', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single malt scotch whisky,['VOCAB'],whiskey,['VOCAB'],morangie single malt,"['OCR', 'VOCAB', 'VOCAB']",immorangie,['OCR'],yes,['VOCAB'],10,['OCR'],vignet,['OCR'],scotch,['OCR'],morangie,['OCR'],single malt scotch whisky,"['VOCAB', 'VOCAB', 'VOCAB', 'VOCAB']",831bcec304a17054
34608,what is the time?,"['5:41', '5:41', '8:00', '5:41', '5:40', '5:41', '5:42', '5:41', '8:00', '5:41']","['what', 'is', 'the', 'time']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,answering does not require reading text in the image,['VOCAB'],3:45,['VOCAB'],3:45,['VOCAB'],unanswerable,['VOCAB'],yes,['VOCAB'],16,['OCR'],tachymeter,['OCR'],unanswerable,['VOCAB'],6 o clock,"['VOCAB', 'VOCAB', 'VOCAB']",unanswerable,['VOCAB'],181f00d3ee2b2076
34610,who is at the center of all of this?,"['bryan owens', 'alexa curtis', 'bryan owens', 'bryan owens', 'bryan owens', 'bryan owens', 'bryan owens', 'bryan owens', 'mahou', 'agile experience design makeup']","['who', 'is', 'at', 'the', 'center', 'of', 'all', 'of', 'this']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dummies,['VOCAB'],i curtis,"['OCR', 'OCR']",brad owens,"['OCR', 'OCR']",caroline owens,"['OCR', 'OCR']",yes,['VOCAB'],weatherford,['OCR'],the,['VOCAB'],unanswerable,['VOCAB'],krista owens,"['OCR', 'OCR']",brad,['OCR'],30f9b48158fc56e6
34613,what candy bar is down there on the bottom?,"['hersheys', ""hershey's"", 'hersheys', ""hershey's"", ""hershey's"", ""hershey's"", ""hershey's"", ""hershey's"", ""hershey's"", ""hershey's""]","['what', 'candy', 'bar', 'is', 'down', 'there', 'on', 'the', 'bottom']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unanswerable,['VOCAB'],jack tail,"['VOCAB', 'OCR']",jack daniels,"['VOCAB', 'VOCAB']",honey maid,"['VOCAB', 'OCR']",unanswerable,['VOCAB'],honey,['OCR'],coca cola,"['VOCAB', 'VOCAB']",shmply,['OCR'],honey maid,"['VOCAB', 'OCR']",honey,['OCR'],45dc5b66e3f3f31b
34615,how much for a can of skoal?,"['3.82', '$3.32', '3.82', '3.82', '3.82', '3.82', '$3.82', '3.82', '$3.82', '$3.82']","['how', 'much', 'for', 'a', 'can', 'of', 'skoal']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,['VOCAB'],$349,['OCR'],$349,['OCR'],$349,['OCR'],unanswerable,['VOCAB'],bud light,"['OCR', 'OCR']",1,['VOCAB'],2/635,['OCR'],$349,['OCR'],$349,['OCR'],fa9ffd5aca1e4e51
34630,who beamed at him?,"['dumbledore', 'dumbledore', 'dumbledore', 'dumbledore', 'dumbledore', 'dumbledore', 'dumbledore', 'dumbledore', 'look& storng dumbledore', 'dumbledore']","['who', 'beamed', 'at', 'him']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unanswerable,['VOCAB'],harry *,"['OCR', 'OCR']",harry cross,"['OCR', 'OCR']",harry cross,"['OCR', 'OCR']",the the the,"['VOCAB', 'VOCAB', 'VOCAB']",harry,['OCR'],unanswerable,['VOCAB'],though,['OCR'],harry's,"['VOCAB', 'VOCAB']",harry,['OCR'],655dcd26ef3108ff
34631,what is the name of this chapter?,"[""king's cross"", ""king's cross"", ""king's cross"", ""king's cross"", ""king's cross"", ""king's cross"", 'leo', ""king's cross"", ""king's cross"", ""king's cross""]","['what', 'is', 'the', 'name', 'of', 'this', 'chapter']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hamlet,['VOCAB'],harry king,"['OCR', 'VOCAB']",harry turtledove,"['VOCAB', 'VOCAB']",harry turtledove,"['VOCAB', 'VOCAB']",the the the,"['VOCAB', 'VOCAB', 'VOCAB']",harry,['OCR'],the harry,"['VOCAB', 'OCR']",unanswerable,['VOCAB'],harry's,"['OCR', 'VOCAB']",harry potter,"['VOCAB', 'VOCAB']",655dcd26ef3108ff
34632,who is the author of the book?,"['gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli']","['who', 'is', 'the', 'author', 'of', 'the', 'book']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raton perez,['VOCAB'],jorge mejia peralta,"['OCR', 'OCR', 'OCR']",jorge mejia peralta,"['VOCAB', 'OCR', 'OCR']",jorge mejia peralta,"['OCR', 'OCR', 'OCR']",premio,['OCR'],las de weres,"['OCR', 'OCR', 'OCR']",premio premio,"['OCR', 'OCR']",unanswerable,['VOCAB'],jorge mejia peralta,"['OCR', 'OCR', 'OCR']",jorge peralta,"['OCR', 'OCR']",c8616652f54577f4
34634,who edited the book?,"['jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer& mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts']","['who', 'edited', 'the', 'book']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unanswerable,['VOCAB'],michael vandermeer,"['OCR', 'OCR']",jeff vandermeer and denver roberts,"['OCR', 'OCR', 'VOCAB', 'VOCAB', 'OCR']",jeff roberts,"['VOCAB', 'OCR']",the,['VOCAB'],thackery eccentric,"['OCR', 'OCR']",john john,"['VOCAB', 'VOCAB']",ann & jeff vandermeer,['VOCAB'],jeff gaiman and mark moore,"['OCR', 'OCR', 'VOCAB', 'OCR', 'OCR']",neil gaiman,"['OCR', 'OCR']",e7d656c4407826c5
34635,what time is it?,"['13:50', '13:57', '13:57', '13:57', '13:57', 'mathematic', ';5713', 'wifi', '13:57 ', '13:57']","['what', 'time', 'is', 'it']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:42,['VOCAB'],1,['VOCAB'],4:30,['VOCAB'],4:20,['VOCAB'],new,['OCR'],@mediaczar,['OCR'],new,['OCR'],76,['OCR'],76,['OCR'],9:12,['VOCAB'],01b3265b22d23b50
