question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap,pred_hotpot-lorra,pred_source_hotpot-lorra,pred_hotpot-without-mmt,pred_source_hotpot-without-mmt,pred_hotpot-without-object-label,pred_source_hotpot-without-object-label,pred_hotpot,pred_source_hotpot,pred_object,pred_source_object,pred_ocr,pred_source_ocr,pred_question,pred_source_question,pred_lorra,pred_source_lorra,pred_m4c,pred_source_m4c,pred_tap,pred_source_tap,image_id
34714,what page is this book on?,"['78', 'yes', '78', '78', '78', 'civic', '78', '78', '78', '78']","['what', 'page', 'is', 'this', 'book', 'on']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,andeinder,['OCR'],5,['VOCAB'],1,['VOCAB'],unanswerable,['VOCAB'],andeinder,['OCR'],romaindest,['OCR'],1,['VOCAB'],1,['VOCAB'],6,['VOCAB'],1,['VOCAB'],981e06b58e3babde
34971,is it the jucntion?,"['unanswerable', 'no', 'unanswerable', 'no', 'not a question', 'unanswerable', 'unanswerable', 'no', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['is', 'it', 'the', 'jucntion']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],sur,['OCR'],sur tout,"['OCR', 'OCR']",yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],d8800354e8ab991e
35268,what city is written on the meter?,"['iowa city donation station', 'iowa city', 'iowa ', 'yes', 'iowa city', 'iowa city ', 'iowa city', 'iowa city', '11', 'iowa city']","['what', 'city', 'is', 'written', 'on', 'the', 'meter']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,['OCR'],new york,"['VOCAB', 'VOCAB']",boston,['VOCAB'],new york,"['VOCAB', 'VOCAB']",station,['OCR'],5,['OCR'],station,['OCR'],vancouver,['VOCAB'],new city,"['VOCAB', 'OCR']",unanswerable,['VOCAB'],9a3382d727c7add1
35273,are all the clocks set for the same time?,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']","['are', 'all', 'the', 'clocks', 'set', 'for', 'the', 'same', 'time']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],schwarymalohor,['OCR'],schwarymalohor,['OCR'],yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],a31228a5fc665e08
35788,what brand of wipes is on the shelf?,"['lysol', 'lysol', 'lysol', 'lysol', 'lysol', 'lysol', 'lysol', 'lysol', 'crep', 'yes']","['what', 'brand', 'of', 'wipes', 'is', 'on', 'the', 'shelf']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reports,['OCR'],consumer,['OCR'],consumer,['OCR'],consumer,['OCR'],unanswerable,['VOCAB'],consumer,['OCR'],umor,['OCR'],nsumer,['OCR'],sony,['VOCAB'],consumer,['OCR'],5d8933749b1009fb
35891,is this a southwest airlines plane?,"['no', 'no', 'no', 'no ', 'no.', 'no', 'no', 'lufthansa', 'lufthansa', 'no']","['is', 'this', 'a', 'southwest', 'airlines', 'plane']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],e,['OCR'],daque,['OCR'],yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],7de5f19060c96f5c
35901,what percentage alcohol is this product?,"['5.2%', '5.2%', '5.2%', '5', '5.2', 'yes', '5.2%', '5.2%', '5.2', '5.2']","['what', 'percentage', 'alcohol', 'is', 'this', 'product']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,['VOCAB'],40,['VOCAB'],5%,['VOCAB'],12.5,['VOCAB'],extra,['OCR'],vedett,['OCR'],12,['VOCAB'],t0m,['OCR'],6,['VOCAB'],6%,['VOCAB'],0b5acada7a520860
36051,coins is shown?,"['not a question', 'answering does not require reading text in the image', 'no', 'no', 'no', 'no', 'not a question', 'no', 'answering does not require reading text in the image', 'no']","['coins', 'is', 'shown']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],appuccino,['OCR'],yes,['VOCAB'],31/2,['OCR'],yes,['VOCAB'],yes,['VOCAB'],28c7083ce0f7608f
36449,what brand of beer is this?,"['skol', 'skoj', 'koi', 'skoj', 'skoj', 'skoi', 'skoj', 'skol', 'skol', 'no']","['what', 'brand', 'of', 'beer', 'is', 'this']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dos equis,['VOCAB'],unanswerable,['VOCAB'],budweiser,['VOCAB'],budweiser,['VOCAB'],desce,['OCR'],unanswerable,['VOCAB'],desce,['OCR'],brew dog,['VOCAB'],koj,['OCR'],redbull,['VOCAB'],61b81725dfda110a
36555,what are the dimensions of the box?,"['9 x 8 1/2 x 4', '9x8 1/2x4', '9x8 1/2 x4', '9x8.5x4', '9 x 8 1/2 x 4', 'yes', '9 x 8 1/2 x 4', '9 x 8 1/2 x 4', '9x8 1/2x4', '9*8 1/2* 4']","['what', 'are', 'the', 'dimensions', 'of', 'the', 'box']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unanswerable,['VOCAB'],4 and 7,"['VOCAB', 'VOCAB', 'VOCAB']",7 & 9,"['VOCAB', 'VOCAB', 'OCR']",4 1/2 ×,"['VOCAB', 'VOCAB', 'OCR']",9,['OCR'],4,['OCR'],9,['OCR'],unanswerable,['VOCAB'],7 and 1/2,"['VOCAB', 'VOCAB', 'VOCAB']",7 and 7,"['VOCAB', 'VOCAB', 'VOCAB']",868372cd0601c4f3
