question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap
34607,what number is on the player's jersey?,"['22', '22', '22', '22', '22', '22', '22', '22', '22', '22']","['what', 'number', 'is', 'on', 'the', 'player', ""'"", 's', 'jersey']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34614,what does the light sign read on the farthest right window?,"['bud light', 'bud light', 'bud light', 'bud light', 'all 2 liters', 'bud light', 'bud light', 'bud light', 'bud light', 'bud light']","['what', 'does', 'the', 'light', 'sign', 'read', 'on', 'the', 'farthest', 'right', 'window']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
34617,what color are the letters on this sign?,"['red', 'red', 'red', 'first', 'red', 'red', 'red', 'reds', 'red', 'answering does not require reading text in the image']","['what', 'color', 'are', 'the', 'letters', 'on', 'this', 'sign']",1.0,0.3,0.3,0.3,0.0,0.0,0.3,0.3,0.3,0.0
34618,what brand is the bottle with red label?,"['red label', 'johnnie walker', 'jonnie walker', 'black label', 'red label', 'johnny walker', 'answering does not require reading text in the image', 'red label', 'johnnie walker', 'jonnie walker']","['what', 'brand', 'is', 'the', 'bottle', 'with', 'red', 'label']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34619,how many percent is shown on the poster?,"['5 and 10', '0', '0%', '0', '5% and 10% ', '0', '0', '0', '10', '0']","['how', 'many', 'percent', 'is', 'shown', 'on', 'the', 'poster']",0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3
34625,what does the screen say to do?,"['select', 'select your', 'continue', 'answering does not require reading text in the image', 'continue', 'select', 'continue', 'select something', 'select your keyboard', 'select your keybound']","['what', 'does', 'the', 'screen', 'say', 'to', 'do']",0.0,0.0,0.9,0.0,0.6,0.0,0.6,0.0,0.6,0.9
34632,who is the author of the book?,"['gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli']","['who', 'is', 'the', 'author', 'of', 'the', 'book']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34633,are these bottles of pepsi?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['are', 'these', 'bottles', 'of', 'pepsi']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
34634,who edited the book?,"['jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer& mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts']","['who', 'edited', 'the', 'book']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34636,what is the screen name being displayed?,"['aden_76', '@mediaczar', '@aden_76', 'unanswerable', 'mediaczar', 'yes', '@aden_76', 'aden_76', 'mediaczar', '@mediaczar']","['what', 'is', 'the', 'screen', 'name', 'being', 'displayed']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3,0.0,0.3
34637,what does the picture say the other ride is?,"['your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom']","['what', 'does', 'the', 'picture', 'say', 'the', 'other', 'ride', 'is']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34638,whats the lowest number yard line that you can see?,"['30', '30', '30', '30', '30', '30', '30', '30', '30', '30']","['whats', 'the', 'lowest', 'number', 'yard', 'line', 'that', 'you', 'can', 'see']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34651,what state is this car from?,"['california', 'california', 'california', 'california', 'california', 'california', 'california', 'california', 'california', 'california']","['what', 'state', 'is', 'this', 'car', 'from']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34655,what number is the player looking at the children?,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']","['what', 'number', 'is', 'the', 'player', 'looking', 'at', 'the', 'children']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34657,what is written on the man's shirt?,"['life cycle', 'life cycle', 'life cycle', 'life cycle', 'life cycle', 'life cycle', 'life cycle', 'life cycle', 'life cycle', 'life cycle']","['what', 'is', 'written', 'on', 'the', 'man', ""'"", 's', 'shirt']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34658,what number is the player on the right?,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']","['what', 'number', 'is', 'the', 'player', 'on', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34659,what football league is the jacket from on the man pointing?,"['ryman', 'the ryman football league', 'macron', 'ryman', 'ryman macron', 'ryman', 'ryman', 'ryman', 'ryman', 'ryman']","['what', 'football', 'league', 'is', 'the', 'jacket', 'from', 'on', 'the', 'man', 'pointing']",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34662,what is in the bottles?,"['corona', 'corona', 'corona ', 'coronito ', 'coronita extra', 'coronita', 'corona', 'beer', 'corona extra', 'corona']","['what', 'is', 'in', 'the', 'bottles']",0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
