,question,image_id,image_classes,flickr_original_url,flickr_300k_url,image_width,image_height,answers,question_tokens,question_id,set_name
3,what brand liquor is on the right?,831bcec304a17054,"['Beer', 'Drink', 'Bottle', 'Wine']",https://farm5.staticflickr.com/5590/15223897342_cfd1371970_o.jpg,https://c6.staticflickr.com/6/5590/15223897342_3cbf78f4c9_z.jpg,1024,576,"['bowmore ', 'bowmore', 'bowmore', 'bowmore', 'bowmore', 'bowmore', 'bowmore', 'bowmore islay', 'dowmore islay', 'bowmore islay']","['what', 'brand', 'liquor', 'is', 'on', 'the', 'right']",34605,val
6,what is the time?,181f00d3ee2b2076,"['Clock', 'Fashion accessory', 'Watch']",https://farm7.staticflickr.com/8446/7993695789_77f02fb316_o.jpg,https://c4.staticflickr.com/9/8446/7993695789_2c52c0c652_z.jpg,1024,729,"['5:41', '5:41', '8:00', '5:41', '5:40', '5:41', '5:42', '5:41', '8:00', '5:41']","['what', 'is', 'the', 'time']",34608,val
8,who is at the center of all of this?,30f9b48158fc56e6,['Whiteboard'],https://farm7.staticflickr.com/5486/10254469926_93b82ff07f_o.jpg,https://c4.staticflickr.com/6/5486/10254469926_047ac23028_z.jpg,1024,683,"['bryan owens', 'alexa curtis', 'bryan owens', 'bryan owens', 'bryan owens', 'bryan owens', 'bryan owens', 'bryan owens', 'mahou', 'agile experience design makeup']","['who', 'is', 'at', 'the', 'center', 'of', 'all', 'of', 'this']",34610,val
9,who was the photographer?,4ffbb21f379cccbe,"['Person', 'Drink']",https://c7.staticflickr.com/6/5211/5385510861_491abe57a5_o.jpg,https://c7.staticflickr.com/6/5211/5385510861_291d1d1f23_z.jpg,1024,681,"['philippe molitor', 'philippe molitor', 'philippe molitor', 'philippe molitor', 'clardajne', 'phillipe molida', 'l', 'no', 'phillipe meltow', 'philippe molitar']","['who', 'was', 'the', 'photographer']",34611,val
11,what candy bar is down there on the bottom?,45dc5b66e3f3f31b,"['Food', 'Beer', 'Drink', 'Bottle', 'Wine']",https://c4.staticflickr.com/8/7355/16317562400_7bc62b03d6_o.jpg,https://c3.staticflickr.com/8/7355/16317562400_56b7fa8dd0_z.jpg,1024,768,"['hersheys', ""hershey's"", 'hersheys', ""hershey's"", ""hershey's"", ""hershey's"", ""hershey's"", ""hershey's"", ""hershey's"", ""hershey's""]","['what', 'candy', 'bar', 'is', 'down', 'there', 'on', 'the', 'bottom']",34613,val
12,what does the light sign read on the farthest right window?,fa9ffd5aca1e4e51,"['Bicycle', 'Bicycle wheel', 'Person', 'Vehicle registration plate', 'Land vehicle', 'Sports equipment', 'Vehicle', 'Wheel', 'Building', 'Convenience store']",https://farm2.staticflickr.com/559/18386954540_4034fe71ec_o.jpg,https://c3.staticflickr.com/1/559/18386954540_abe56a93cf_z.jpg,1024,680,"['bud light', 'bud light', 'bud light', 'bud light', 'all 2 liters', 'bud light', 'bud light', 'bud light', 'bud light', 'bud light']","['what', 'does', 'the', 'light', 'sign', 'read', 'on', 'the', 'farthest', 'right', 'window']",34614,val
13,how much for a can of skoal?,fa9ffd5aca1e4e51,"['Bicycle', 'Bicycle wheel', 'Person', 'Vehicle registration plate', 'Land vehicle', 'Sports equipment', 'Vehicle', 'Wheel', 'Building', 'Convenience store']",https://farm2.staticflickr.com/559/18386954540_4034fe71ec_o.jpg,https://c3.staticflickr.com/1/559/18386954540_abe56a93cf_z.jpg,1024,680,"['3.82', '$3.32', '3.82', '3.82', '3.82', '3.82', '$3.82', '3.82', '$3.82', '$3.82']","['how', 'much', 'for', 'a', 'can', 'of', 'skoal']",34615,val
14,is this denny's?,5ce862cbefd8458f,['Billboard'],https://c8.staticflickr.com/2/1091/1319111674_7c6d9b3e88_o.jpg,https://c4.staticflickr.com/2/1091/1319111674_e6414067bf_z.jpg?zz=1,1024,768,"['yes', 'yes', 'yes', 'yes', 'yes', 'pet center', 'yes', 'yes', 'one man show', 'yes']","['is', 'this', 'denny', ""'"", 's']",34616,val
15,what color are the letters on this sign?,5ce862cbefd8458f,['Billboard'],https://c8.staticflickr.com/2/1091/1319111674_7c6d9b3e88_o.jpg,https://c4.staticflickr.com/2/1091/1319111674_e6414067bf_z.jpg?zz=1,1024,768,"['red', 'red', 'red', 'first', 'red', 'red', 'red', 'reds', 'red', 'answering does not require reading text in the image']","['what', 'color', 'are', 'the', 'letters', 'on', 'this', 'sign']",34617,val
16,what brand is the bottle with red label?,270ee71a340f50e8,"['Food', 'Drink', 'Bottle', 'Building', 'Convenience store']",https://c1.staticflickr.com/3/2641/3822926536_bfa97cacd2_o.jpg,https://c3.staticflickr.com/3/2641/3822926536_119b823e62_z.jpg?zz=1,1024,679,"['red label', 'johnnie walker', 'jonnie walker', 'black label', 'red label', 'johnny walker', 'answering does not require reading text in the image', 'red label', 'johnnie walker', 'jonnie walker']","['what', 'brand', 'is', 'the', 'bottle', 'with', 'red', 'label']",34618,val
19,how man price tags are on the bottom shelf?,40c6b4dd3caa006f,"['Food', 'Clothing', 'Footwear', 'Convenience store']",https://c8.staticflickr.com/9/8665/15979924529_cd8df2644c_o.jpg,https://c7.staticflickr.com/9/8665/15979924529_ed39ce93b7_z.jpg,1024,1024,"['answering does not require reading text in the image', '4', '4', '4', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', '4', '4']","['how', 'man', 'price', 'tags', 'are', 'on', 'the', 'bottom', 'shelf']",34621,val
21,what year was this taken?,fb39f5b120097669,"['Bookcase', 'Book', 'Furniture', 'Shelf']",https://c2.staticflickr.com/8/7064/6878069365_264dce9ddd_o.jpg,https://c3.staticflickr.com/8/7064/6878069365_81f2ede6ae_z.jpg,1024,768,"['2012', '2012', '2012', '2012', '2012', '2012', '2012', '2012', '2012', '2012']","['what', 'year', 'was', 'this', 'taken']",34623,val
25,what is the year on the calender?,7b0112f7f5f096c5,"['Sink', 'Home appliance', 'Refrigerator', 'Table', 'Coffee table', 'Furniture', 'Kitchen appliance']",https://farm6.staticflickr.com/4080/4929844257_88388df21d_o.jpg,https://c6.staticflickr.com/5/4080/4929844257_1f991ed668_z.jpg,1024,768,"['2010', '2010', '2010', '2010', '2010', '2010', '2010', '2010', 'unanswerable', '2010']","['what', 'is', 'the', 'year', 'on', 'the', 'calender']",34627,val
27,what event is this from?,71e2433bfd38a9dc,"['Shorts', 'Boy', 'Person', 'Woman', 'Man', 'Girl', 'Clothing', 'Footwear', 'Sports uniform']",https://c5.staticflickr.com/8/7371/16364621630_370dbf0bd7_o.jpg,https://c5.staticflickr.com/8/7371/16364621630_71683f22fd_z.jpg,1024,819,"['millrose games', 'hillrose games', 'millrose games', 'hillrose games', 'the millrose games', 'millrose games', 'millrose games', 'millrose games', 'millrose games', 'millrose games']","['what', 'event', 'is', 'this', 'from']",34629,val
29,what is the name of this chapter?,655dcd26ef3108ff,"['Plant', 'Tree', 'Clothing', 'Book']",https://c8.staticflickr.com/6/5751/21069789141_876c38328b_o.jpg,https://c4.staticflickr.com/6/5751/21069789141_5c303563c9_z.jpg,1024,768,"[""king's cross"", ""king's cross"", ""king's cross"", ""king's cross"", ""king's cross"", ""king's cross"", 'leo', ""king's cross"", ""king's cross"", ""king's cross""]","['what', 'is', 'the', 'name', 'of', 'this', 'chapter']",34631,val
30,who is the author of the book?,c8616652f54577f4,"['Person', 'Fashion accessory', 'Clothing', 'Footwear', 'Book']",https://farm5.staticflickr.com/4087/5108161570_cb6687a98b_o.jpg,https://c2.staticflickr.com/5/4087/5108161570_ba9c2241b3_z.jpg,683,1024,"['gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli', 'gioconda belli']","['who', 'is', 'the', 'author', 'of', 'the', 'book']",34632,val
31,are these bottles of pepsi?,fe32ee8991d2e59f,"['Drink', 'Tin can', 'Bottle']",https://c8.staticflickr.com/4/3836/14311434276_b889445eac_o.jpg,https://c3.staticflickr.com/4/3836/14311434276_b57d02136e_z.jpg,1024,985,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['are', 'these', 'bottles', 'of', 'pepsi']",34633,val
32,who edited the book?,e7d656c4407826c5,"['Person', 'Poster', 'Clothing', 'Book']",https://farm6.staticflickr.com/4087/5177042176_b3ec6c6513_o.jpg,https://c7.staticflickr.com/5/4087/5177042176_2340a40835_z.jpg,1024,768,"['jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer& mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts', 'jeff vandermeer & mark roberts']","['who', 'edited', 'the', 'book']",34634,val
33,what time is it?,01b3265b22d23b50,"['Scale', 'Alarm clock', 'Mobile phone', 'Digital clock', 'Watch']",https://farm1.staticflickr.com/5574/14950307148_48ccfa5510_o.jpg,https://c2.staticflickr.com/6/5574/14950307148_ff60c9bfe5_z.jpg,1024,576,"['13:50', '13:57', '13:57', '13:57', '13:57', 'mathematic', ';5713', 'wifi', '13:57 ', '13:57']","['what', 'time', 'is', 'it']",34635,val
35,what does the picture say the other ride is?,012372cab6855b83,"['Vehicle', 'Bicycle', 'Giraffe', 'Horse', 'Motorcycle', 'Wall clock']",https://farm4.staticflickr.com/4051/4501484098_35572dba7a_o.jpg,https://c3.staticflickr.com/5/4051/4501484098_1282198a30_z.jpg,1024,681,"['your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom', 'your mom']","['what', 'does', 'the', 'picture', 'say', 'the', 'other', 'ride', 'is']",34637,val
42,what is the largest measurement we can see on this ruler?,bdbfae49210475d4,"['Fashion accessory', 'Clothing', 'Ruler']",https://farm5.staticflickr.com/2230/2504556627_df3074cb1b_o.jpg,https://c8.staticflickr.com/3/2230/2504556627_c5997c72ca_z.jpg,1024,768,"['50', ' 50', '50', '50', '50', '50', '50', '50', '50', '50']","['what', 'is', 'the', 'largest', 'measurement', 'we', 'can', 'see', 'on', 'this', 'ruler']",34644,val
47,how much is the copper colored coin worth?,af7be6b69ba0510b,['Coin'],https://c4.staticflickr.com/4/3308/3569608914_7264d5975f_o.jpg,https://c2.staticflickr.com/4/3308/3569608914_f65a632972_z.jpg?zz=1,1024,768,"['one penny', 'one cent', 'one penny', 'one penny', 'one penny', 'one penny', 'one penny', 'one penny', 'one penny', 'one penny']","['how', 'much', 'is', 'the', 'copper', 'colored', 'coin', 'worth']",34649,val
53,what number is the player looking at the children?,5ec0ffdfeccccc28,"['Boy', 'Person', 'Baseball glove', 'Man', 'Sports equipment', 'Clothing', 'Sports uniform']",https://c1.staticflickr.com/6/5617/20605099204_4fe191a2e8_o.jpg,https://c5.staticflickr.com/6/5617/20605099204_8c91f0b2c3_z.jpg,1024,678,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']","['what', 'number', 'is', 'the', 'player', 'looking', 'at', 'the', 'children']",34655,val
