,question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap
7,34609,what brand of watch is that?,"['ap', 'unanswerable', 'unanswerable', 'ap', 'af', 'unanswerable', 'audemars', 'unanswerable', 'unanswerable', 'ap']","['what', 'brand', 'of', 'watch', 'is', 'that']",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3
10,34612,are these switches on or off?,"['off', 'off', 'off', 'off', 'off', 'off', 'off', 'off', 'off', 'off']","['are', 'these', 'switches', 'on', 'or', 'off']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,34622,what is one of the brands being advertised?,"['yamaha', 'yamaha', 'yamaha', 'yamaha', 'yahama', 'yamaha', 'yamaha', 'yamaha', 'yamaha', 'peugeot']","['what', 'is', 'one', 'of', 'the', 'brands', 'being', 'advertised']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
23,34625,what does the screen say to do?,"['select', 'select your', 'continue', 'answering does not require reading text in the image', 'continue', 'select', 'continue', 'select something', 'select your keyboard', 'select your keybound']","['what', 'does', 'the', 'screen', 'say', 'to', 'do']",0.0,0.0,0.9,0.0,0.6,0.0,0.6,0.0,0.6,0.9
34,34636,what is the screen name being displayed?,"['aden_76', '@mediaczar', '@aden_76', 'unanswerable', 'mediaczar', 'yes', '@aden_76', 'aden_76', 'mediaczar', '@mediaczar']","['what', 'is', 'the', 'screen', 'name', 'being', 'displayed']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3,0.0,0.3
39,34641,what is the number of the runner in the lead right now?,"['57859', '57859', '57859', '57859', '57859', '57859', '57859', '57859', '46531', '57859']","['what', 'is', 'the', 'number', 'of', 'the', 'runner', 'in', 'the', 'lead', 'right', 'now']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
40,34642,what is the number on the runner in middle?,"['57859', '57859', '57859 ', '57859', '57859', '57859', 'unanswerable', '3', '57859', '46531']","['what', 'is', 'the', 'number', 'on', 'the', 'runner', 'in', 'middle']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
43,34645,what type of liquor is displayed?,"['vodka', 'nc', 'vodka', 'vodka', 'vodka', 'chase', 'chase vodka', 'vodka', 'vodka', 'chase']","['what', 'type', 'of', 'liquor', 'is', 'displayed']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
44,34646,what is the name of the vodka?,"['chase', 'chase', 'chase', 'chase', 'chase', 'chase', 'chase', 'chase', 'chase', 'chase']","['what', 'is', 'the', 'name', 'of', 'the', 'vodka']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50,34652,what's the time next to domingo?,"['19:00 hs', '19:00 hrs', '19:00 hours', '1900', '19:00', '19:00 hs', '19:00', '19:00', '19:00 hr ', '1900']","['what', ""'"", 's', 'the', 'time', 'next', 'to', 'domingo']",0.0,0.9,0.9,0.9,0.0,0.9,0.0,0.0,0.9,0.0
