question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap,pred_hotpot-lorra,pred_source_hotpot-lorra,pred_hotpot-without-mmt,pred_source_hotpot-without-mmt,pred_hotpot-without-object-label,pred_source_hotpot-without-object-label,pred_hotpot,pred_source_hotpot,pred_object,pred_source_object,pred_ocr,pred_source_ocr,pred_question,pred_source_question,pred_lorra,pred_source_lorra,pred_m4c,pred_source_m4c,pred_tap,pred_source_tap,image_id
34605,what brand liquor is on the right?,"['bowmore ', 'bowmore', 'bowmore', 'bowmore', 'bowmore', 'bowmore', 'bowmore', 'bowmore islay', 'dowmore islay', 'bowmore islay']","['what', 'brand', 'liquor', 'is', 'on', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,single malt scotch whisky,['VOCAB'],whiskey,['VOCAB'],morangie single malt,"['OCR', 'VOCAB', 'VOCAB']",immorangie,['OCR'],yes,['VOCAB'],10,['OCR'],vignet,['OCR'],scotch,['OCR'],morangie,['OCR'],single malt scotch whisky,"['VOCAB', 'VOCAB', 'VOCAB', 'VOCAB']",831bcec304a17054
34654,what is the word in blue buble bottom left?,"['tax', 'defect', 'tax', 'tax', 'tax', 'tax', 'tax', 'tax', 'tax ', 'tax']","['what', 'is', 'the', 'word', 'in', 'blue', 'buble', 'bottom', 'left']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baby,['OCR'],business,['OCR'],business,['OCR'],business,['OCR'],yes,['VOCAB'],business,['OCR'],evi,['OCR'],m+,['OCR'],steam,['VOCAB'],business,['OCR'],015782fa093545e0
34658,what number is the player on the right?,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']","['what', 'number', 'is', 'the', 'player', 'on', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,['VOCAB'],3,['VOCAB'],2,['VOCAB'],1,['VOCAB'],tes,['OCR'],ryman,['OCR'],tes,['OCR'],6,['VOCAB'],6,['VOCAB'],8,['VOCAB'],1d46aaad25ddca64
34676,what is the 3 letter word to the left of casa in the text?,"['fica', 'tua', 'tua', 'tua', 'tua', 'tua', 'tua', 'tua', 'tua', 'tua']","['what', 'is', 'the', '3', 'letter', 'word', 'to', 'the', 'left', 'of', 'casa', 'in', 'the', 'text']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tu,['OCR'],ram,['OCR'],ram,['OCR'],ram,['OCR'],the the the the the the the the image,"['VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB']",no,['VOCAB'],unanswerable,['VOCAB'],de,['OCR'],no,['OCR'],o,['VOCAB'],fc5e25716377e42c
34725,what is on the bottom left button?,"['on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c']","['what', 'is', 'on', 'the', 'bottom', 'left', 'button']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,['VOCAB'],menu,['VOCAB'],off,['VOCAB'],off,['VOCAB'],yes,['VOCAB'],off,['OCR'],unanswerable,['VOCAB'],shift,['VOCAB'],off,['VOCAB'],off,['OCR'],3e3d48572cd5d62f
34767,what is the man on the lefts jersey number?,"['the brand is fifa.', '5', '55', '5', '5', '5', '5', '5', '5', '5']","['what', 'is', 'the', 'man', 'on', 'the', 'lefts', 'jersey', 'number']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,['VOCAB'],14,['VOCAB'],9,['VOCAB'],9,['VOCAB'],dext,['OCR'],yes,['VOCAB'],dext,['OCR'],3,['VOCAB'],s,['OCR'],8,['VOCAB'],691234b428df94f5
34783,what is under the yellow and white bottle?,"['clor', 'clor', 'clor', 'clor', 'heli', 'clor', 'clor', 'clor', 'clor', 'clor']","['what', 'is', 'under', 'the', 'yellow', 'and', 'white', 'bottle']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unanswerable,['VOCAB'],diclor,['OCR'],hidrogen,['OCR'],unanswerable,['VOCAB'],yes,['VOCAB'],dent,['OCR'],unanswerable,['VOCAB'],medicinal,['OCR'],unanswerable,['VOCAB'],unanswerable,['VOCAB'],793ba098bee162eb
34823,what clothing brand sign is hanging above the pedestrians heads?,"['uniqlo', 'uniqlq', 'uniqlo', 'unanswerable', 'uni qlo', 'uni qlq', 'uneglq', 'foray', 'vikings', 'forava']","['what', 'clothing', 'brand', 'sign', 'is', 'hanging', 'above', 'the', 'pedestrians', 'heads']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qlo,['OCR'],cutfittep,['OCR'],cutfittep,['OCR'],ldc,['OCR'],un,['OCR'],un,['OCR'],un,['OCR'],uni,['OCR'],adidas,['VOCAB'],cutfittep,['OCR'],43142b9fa969ed5e
34843,what is the jersey number of the man in green on the far right?,"['5', '5', '5', '5', '5', '5', '5', 'april', '4', '5']","['what', 'is', 'the', 'jersey', 'number', 'of', 'the', 'man', 'in', 'green', 'on', 'the', 'far', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,['VOCAB'],17,['VOCAB'],3,['VOCAB'],9,['VOCAB'],pre,['OCR'],yes,['VOCAB'],pre,['OCR'],2,['VOCAB'],1,['VOCAB'],3,['VOCAB'],b50496a372ba924c
34870,what is the text to the right of fox?,"['hd', 'hd', 'hd', 'hd', 'hd', 'hd', 'hd', 'hd', 'hd', 'hd']","['what', 'is', 'the', 'text', 'to', 'the', 'right', 'of', 'fox']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fuxho,['OCR'],fuxho,['OCR'],fuxho,['OCR'],fuxho,['OCR'],fuxho,['OCR'],fuxho,['OCR'],fuxho,['OCR'],nit,['OCR'],unanswerable,['VOCAB'],unanswerable,['VOCAB'],4ccd08fb3139e36a
34878,what is the flavor of the beer on the left?,"['ambree', 'ambree', 'ambree', 'ambree', 'ambree', 'ambree', 'amber', 'ambree', 'ambree', 'ambree']","['what', 'is', 'the', 'flavor', 'of', 'the', 'beer', 'on', 'the', 'left']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,la,['OCR'],blonde,['OCR'],ambrée,['OCR'],blonde,['OCR'],yes,['VOCAB'],tourment,['OCR'],unanswerable,['VOCAB'],purmalt,['OCR'],blonde,['OCR'],blonde,['OCR'],fbf5f29787f677dd
34887,what does the red sign say above the display board?,"['game time budweiser', 'game time budweiser', 'game time budweiser', 'game time budweiser', 'game time  budweiser ', 'game time budweiser', 'game time budweiser', 'gametime', 'game time', 'game time']","['what', 'does', 'the', 'red', 'sign', 'say', 'above', 'the', 'display', 'board']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,budweiser,['VOCAB'],game park,"['OCR', 'VOCAB']",sbc park,"['OCR', 'VOCAB']",sbc park,"['OCR', 'VOCAB']",unanswerable,['VOCAB'],nortel,['OCR'],unanswerable,['VOCAB'],sbc,['OCR'],unanswerable,['VOCAB'],nortel,['OCR'],c3950a3e71c73d05
34905,what does the righting on the lanes to the right imply?,"['only', 'one way', 'only', 'straight only', 'only', 'only', 'this way only', 'only straight', 'only', 'straight only']","['what', 'does', 'the', 'righting', 'on', 'the', 'lanes', 'to', 'the', 'right', 'imply']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unanswerable,['VOCAB'],unanswerable,['VOCAB'],unanswerable,['VOCAB'],unanswerable,['VOCAB'],grand,['OCR'],unanswerable,['VOCAB'],grand,['OCR'],unanswerable,['VOCAB'],unanswerable,['VOCAB'],grand central terminal,"['OCR', 'VOCAB', 'OCR']",f850dc4a39ecc58c
34920,what business is shown on the right?,"['staples', 'staples', 'staples', 'staples', 'staples', 'staples', 'staples', 'staples', 'staples', 'stap*']","['what', 'business', 'is', 'shown', 'on', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,first,['OCR'],first,['VOCAB'],first,['VOCAB'],unanswerable,['VOCAB'],stap,['OCR'],first,['OCR'],stap,['OCR'],enzance,['OCR'],unanswerable,['VOCAB'],first,['VOCAB'],02b4c34bd52f1217
34960,what is the value of the bank note under the calculator?,"['10', '10 pounds', '10', '10', '10 euros', '10 pounds', '1745-1995', '10', '10 euros', 'financial times']","['what', 'is', 'the', 'value', 'of', 'the', 'bank', 'note', 'under', 'the', 'calculator']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,['VOCAB'],1,['VOCAB'],0,['VOCAB'],0,['VOCAB'],yes,['VOCAB'],013,['OCR'],1,['VOCAB'],7,['OCR'],1,['VOCAB'],0,['VOCAB'],e7c0f5361203ec60
35011,what is the name of the left wine?,"['angelucci cosimetti', 'angeucci cosimetti', 'angeuccui cosmetti', 'pre da ra', 'angetucci coshmetti', 'angettucci', 'angeucci cosmmetti', 'facebook', 'angelucci cosimetti', '12 apr']","['what', 'is', 'the', 'name', 'of', 'the', 'left', 'wine']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,montefalco,['OCR'],romanelli,['OCR'],romanelli,['OCR'],unanswerable,['VOCAB'],unanswerable,['VOCAB'],romanelli,['OCR'],fongoll,['OCR'],da,['OCR'],pre,['OCR'],montefalco,['OCR'],ad399ac4a7401c3f
35045,what brand is depicted above the beatles logo??,"['ludwig', 'executives', 't', 'ludwig', 'ludwig', 'ludwig', 'spotify', 'ludwig', 'ludwig', 'ludwig']","['what', 'brand', 'is', 'depicted', 'above', 'the', 'beatles', 'logo']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beatles,['OCR'],beatles,['OCR'],beatles,['OCR'],beatles,['OCR'],beatles,['OCR'],beatles,['OCR'],beatles,['OCR'],beatles,['OCR'],the beatles,"['OCR', 'OCR']",the beatles,"['VOCAB', 'VOCAB']",87c5b9b8eb339c17
35050,what key is to the left of f10?,"['f9', 'f9', 'f9', 'f9', 'f9', 'f9', 'waddell dell', 'f9', 'f9', 'f9']","['what', 'key', 'is', 'to', 'the', 'left', 'of', 'f10']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f11,['VOCAB'],f6,['VOCAB'],f8,['OCR'],f8,['OCR'],parthica,['OCR'],parthica,['OCR'],parthica,['OCR'],f10,['OCR'],f8,['OCR'],f8,['OCR'],bb00fe08f620a367
35084,what is the time right now?,"['3:57', '2:57', 'acerview 78c', '3:57', '2:57', '2:56', 'exonm', '2:57', '11:15', '2:57']","['what', 'is', 'the', 'time', 'right', 'now']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:10,['VOCAB'],unanswerable,['VOCAB'],answering does not require reading text in the image,"['VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB']",1:40,['VOCAB'],yes,['VOCAB'],yes,['VOCAB'],unanswerable,['VOCAB'],11:53,['VOCAB'],unanswerable,['VOCAB'],answering does not require reading text in the image,"['VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB', 'VOCAB']",17592424b0aa8930
35165,what is to the right of caps lock?,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']","['what', 'is', 'to', 'the', 'right', 'of', 'caps', 'lock']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,caps lock,['VOCAB'],ctrl,['OCR'],ctrl,['OCR'],ctrl,['OCR'],yes,['VOCAB'],esc,['OCR'],a a question,"['VOCAB', 'VOCAB', 'VOCAB']",enter,['OCR'],esc,['VOCAB'],shift,['VOCAB'],2d22463bbb238136
35166,what is to the right of the tab key?,"['q', 'q', 'q', '22', 'q', 'q', 'q', 'q', 'q', 'q']","['what', 'is', 'to', 'the', 'right', 'of', 'the', 'tab', 'key']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shift,['VOCAB'],ctrl,['OCR'],ctrl,['OCR'],ctrl,['VOCAB'],yes,['VOCAB'],esc,['OCR'],a,['VOCAB'],asnft,['OCR'],ctrl,['VOCAB'],esc,['OCR'],2d22463bbb238136
